feature,feature_decile,row_count,feature_value_min,feature_value_max,mean_feature_value,actual_positive_rate,mean_pred_prob,mean_excess_forward_return
vol_ratio_21d_63d,2,14,0.7240679443869126,0.7985676003959233,0.7680636883378502,0.7142857142857143,0.4456348121166229,0.012631679587837378
vol_ratio_21d_63d,3,13,0.7990231037801733,0.8570776125694426,0.8218336877002905,0.5384615384615384,0.5095216035842896,-0.007464958047613641
vol_ratio_21d_63d,4,14,0.8575796208499014,0.933731943140626,0.8996017105506703,0.35714285714285715,0.4799160659313202,-0.0007322188598714579
vol_ratio_21d_63d,5,14,0.9410445189879226,0.9826656595859536,0.9645714052326283,0.7142857142857143,0.586835503578186,0.01014215796478045
vol_ratio_21d_63d,6,13,0.9919236918087233,1.055386488621146,1.0201938802339394,0.46153846153846156,0.5054761171340942,0.0014408282686335892
vol_ratio_21d_63d,7,14,1.0582844127122328,1.1240346327586426,1.0856030222245066,0.5,0.6156438589096069,-0.007988770652507525
vol_ratio_21d_63d,8,13,1.1257976071712643,1.2272501773701319,1.1670214342490235,0.3076923076923077,0.5226908326148987,-0.005924177744147891
vol_ratio_21d_63d,9,14,1.2296194042091548,1.343512001007877,1.2826587086468084,0.6428571428571429,0.5439586043357849,0.008242840196758817
vol_ratio_21d_63d,10,14,1.348358935153966,1.63461318066822,1.4262997816036755,0.42857142857142855,0.5210923552513123,-0.0032710572256822814
volume_ratio_20d,1,14,0.5012221730072018,0.8675064191589358,0.7300239021721786,0.42857142857142855,0.5102241635322571,-0.0022499772991498098
volume_ratio_20d,2,14,0.8790111925100874,1.0637036671640625,0.9753784373844555,0.35714285714285715,0.5200438499450684,-0.0049662215031191035
volume_ratio_20d,3,13,1.0670255980999501,1.1663024126975916,1.1154967740090118,0.7692307692307693,0.5034812688827515,0.014165550981535834
volume_ratio_20d,4,14,1.1838626597100281,1.2916555729447392,1.2223597580475885,0.6428571428571429,0.5620878338813782,0.0013309649771573728
